name,price,status,shipping,free_returns,items_sold
,,,,False,
BRANDI BRANDT DONALD TRUMP AUTOGRAPH 8x10 PHOTO OF PLAYBOY MAG COVER MARCH 90,2000,,450,False,76
"AUTOGRAPHED ""Art of the Deal"" Book Hand Signed by President DONALD TRUMP w/Proof",35900,Brand New,0,False,0
Donald Trump - 45th President - Original Autograph - Hand Signed 8x10 w/Holo COA,17999,Brand New,700,False,
Donald Trump signed 8x10 glossy picture,10250,Brand New,950,False,
"Donald Trump Signed Crippled America First Edition Book W/ COA Rare 5795/10,000",69999,Brand New,1200,False,
VERY RARE Donald J Trump Signed Autographed $1000 Bill (PLAY MONEY) with COA,14000,Brand New,985,False,
"New ListingDonald J Trump Signed Autographed Golf Ball WITH Certified COA!  ""BEST WISHES""  ",17999,Pre-Owned,1270,False,
Customized Donald Trump Personalized Presidential White House Letter  GREAT GIFT,2199,Brand New,400,False,
President Donald Trump Hand Signed Autographed Rawlings Baseball With COA,37495,Pre-Owned,1499,True,
PRESIDENT DONALD J. TRUMP 2020 “Keep America Great” AUTOGRAPHED Campaign Sign,39999,Brand New,8215,False,
"""Art of the Deal""  Autographed Paperback Hand Signed by President DONALD TRUMP",34900,Brand New,,False,
President DONALD TRUMP Signed Autographed Baseball ,34900,Brand New,699,False,
Donald Trump signed autographed How To Get Rich book! AMCo! 15428,59900,,0,False,
DONALD TRUMP Signed Official Major League Baseball GA Authentics ,24000,Brand New,955,False,
DONALD TRUMP Hand Signed NASCAR Tony Stewart #20 Brand NEW Hat Autograph w/ COA ,19900,Brand New,0,True,
Donald Trump Signed Crippled America Hardcover w/COA,57499,Brand New,1595,False,
Donald and Melania Trump Collectible Replica Presidential Signature Card MAGA,449,,0,False,
President Donald Trump Hand Signed Autographed 8x10 Simpsons Photo With COA,60000,Pre-Owned,1999,True,
Donald Trump Autograph Signed Beckett BAS Political psa jsa President,88999,,800,False,
Donald Trump Signed Autograph Golf Ball Certified COA,18999,Brand New,599,False,
