name,price,status,shipping,free_returns,items_sold
,,,,False,
For Michigan Wolverines UM University Large College Flag Big House Football,1399,Brand New,0,True,
6 Wedgwood Pomona College Blue Commemorative Plates,9900,Pre-Owned,3500,True,
Vintage College University ROTC Patch Pomona Claremont Mens,999,Pre-Owned,550,False,
"Claremont, CA California, Pomona College Seaver Laboratory, Unposted Postcard ",890,Pre-Owned,0,True,
Vintage Pomona College Claremont California Postcard Men's Campus Walker Hall,1396,Pre-Owned,350,False,
Smiley Hall—Pomona College RPPC Claremont California—Rare Vintage PIERCE Photo,1299,Pre-Owned,100,False,
"RPPC Claremont,CA Harwood Court,Pomona College Los Angeles County California",1499,Pre-Owned,400,False,
Claremont California RPPC Chapel at Pomona College 1948,769,,250,False,
Old Vintage 1952 PHOTO Postcard of POMONA COLLEGE Claremont CA,299,Pre-Owned,0,False,
Wedgwood Pomona College blue white Carnegie Library plate,3999,Pre-Owned,1015,True,
1918 Pomona College Claremont California Photo Album Football 301 Photos,24999,,1600,False,
Pomona College Campus Entrance RPPC Cooper's Photo Claremont CA Antique 1920s,1999,Pre-Owned,100,False,
"Claremont, CA 1915 Realphoto Postcard: Pomona College Main Street - California",1499,,100,False,
"(U)  Pomona, CA - Pomona College - Joie de Vie Fountain Sculpture in Lyon Garden",455,,0,False,
"Claremont CA, Library, Pomona College, Vintage California Postcard ",799,Pre-Owned,200,True,
"Claremont, CA 1920 Realphoto Postcard: Music Hall, Pomona College-California Cal",799,,100,False,
"Pomona College Welcome Team ASK ME! Red S/S Claremont, California T-Shirt S",1869,Pre-Owned,,False,
"RPPC Claremont Inn,Pomona College,CA Los Angeles County California Postcard",2099,Pre-Owned,400,False,
Cal Poly Men's Short Sleeve T-Shirt  Athletic Pomona CA 2017-2018,1700,Pre-Owned,,True,
Vtg Lucien H Frary Mens Dining Hall Pomona College Claremont CA Postcard,2588,Pre-Owned,375,False,
"1930s RPPC Postcard; Bridges Auditorium, Claremont CA 0834 POmona College",999,Pre-Owned,0,True,
Claremont California~Entrance Pomona College~1920s Postcard,190,Pre-Owned,150,False,
New ListingMen's Campus Pomona College Claremont CA postcard 1962,639,,396,False,
Wedgwood Pomona College blue white College Avenue plate,3999,Pre-Owned,1015,True,
Claremont California Pomona College 1920s Cars Frashers Photo- A1,1550,Pre-Owned,335,False,
Claremont CA -HARWOOD COURT AT POMONA COLLEGE - RPPC Wright Pierce Postcard,1500,Pre-Owned,175,False,
"Claremont,CA Bridges Hall,Pomona College Los Angeles County California Postcard",1299,Pre-Owned,300,False,
"RPPC Library & Holmes Hall Pomona College, Claremont, CA c1920s Vintage Postcard",2099,Pre-Owned,100,False,
California History - Pomona College Group Photo - 1948 - Delegation / Named,2295,,,True,
California Pomona College Claremont 1910 AJ Cook Correspondence Letter C18,2495,Pre-Owned,,True,
Pomona College—Art Nouveau Border ANNOTATED Multiview PC Los Angeles County 1912,1299,,100,False,
New ListingHarwood Court Pomona College Claremont CA RPPC postcard 1925,639,,396,False,
Pomona College Wedgwood Commemorative Plate - Bridges Hall Of Music - Exc. Cond.,4999,Pre-Owned,1595,False,
Pomona College Pennant/Flag-Claremont CA,1950,Pre-Owned,550,True,
Claremont Pomona Ontario CA California Postcard Pitzer College Scott Hall,149,Pre-Owned,170,False,
"CALIFORNIA CLAREMONT HOLMES HALL POMONA COLLEGE 1909 MABEL HEYMAN, BELLEVUE OHIO",1999,,0,False,
"RPPC Science Hall Building, Pomona College, Claremont, CA 1906 Vintage Postcard",1900,Pre-Owned,100,False,
Postcard RPPC Bridges Hall Pomona College California CA,1628,Pre-Owned,350,False,
"Early 1900s Sumner Hall, Pomona College, Claremont, CA Postcard",1095,,0,False,
1974 California State Polytechnic College Pomona CA Yearbook Annual Madre Tierra,7679,Pre-Owned,,False,
"AG1346 - USA - POMONA COLLEGE - SCIENCE HALL A20 - CLAREMONT, CAL. - RPPC",1050,,300,False,
PUMPKIN FESTIVAL MENS T SHIRT L LARGE CAL POLY POMONA COLLEGE AGRICULTURE 438 ,2490,Pre-Owned,899,False,
"CA, Claremont, California, Pomona College, Bridges Auditorium,Columbia No H-3722",599,Pre-Owned,200,False,
"POMONA, CA ~ CALIFORNIA STATE POLYTECHNIC COLLEGE Kellogg Campus 1950s Postcard",593,Pre-Owned,,True,
"RPPC Claremont,CA Sumner Hall,Pomona College Los Angeles County California",2999,Pre-Owned,400,False,
"WEDGWOOD POMONA COLLEGE SUMNER HALL OF 1888 10 3/4"" PLATE",3995,Pre-Owned,1080,True,
RPPC Claremont CA Mason Hall at Pomona College 1920s,1429,,300,False,
CLAREMONT CA - RPPC - MUSIC HALL POMONA COLLEGE - REAL-PHOTO POSTCARD PIERCE,1099,,,True,
RPPC Pomona / Claremont CA Harwood Court at Pomona College,769,,250,False,
1963 CAL POLY POMONA CSU YEARBOOK CALIFORNIA STATE COLLEGE TECH ANNUAL ,6499,,508,False,
Vintage Postcard - Pomona College Science Hall Claremont California,499,,300,False,
Wedgwood Pomona College blue white Bridges Hall of Music plate,3999,Pre-Owned,1015,True,
RPPC-Blaisdell Hall-Pomona College-Claremont-Ca,899,Pre-Owned,300,False,
Claremont California RPPC Mason Hall at Pomona College 1920s,769,,250,False,
Wedgwood Pomona College blue white The Plaza - Men's Campus plate,3999,Pre-Owned,1015,True,
"Claremont, California, Pomona College, Seaver Library, Exterior, Wyer No 89066-B",500,Pre-Owned,200,False,
CALIFORNIA POMONA KELLOGG CAMPUS STATE POLYTECHNIC COLLEGE PICNIC CIRCA 1956,1999,,0,False,
RPPC Claremont CA Harper Hall at Pomona College 1940s,769,,250,False,
Wedgwood Pomona College blue white Bridges Auditorium plate,3999,Pre-Owned,1015,True,
"RP, CLAREMONT , California, 1930-1940s : Pomona College",400,Pre-Owned,350,False,
Wedgwood Pomona College blue white Sumner Hall of 1888 plate,3999,Pre-Owned,1015,True,
1966 Pomona College annuity and investment fund vintage print ad,999,,550,True,
POMONA COLLEGE SHORT SLEEVE CREW NECK T SHIRT SIZE XL,1925,Pre-Owned,,False,
"Claremont, CA   POMONA COLLEGE HOLMES HALL EARLY 1900s POSTCARD",999,,0,False,
,,,,False,
"Claremont, CA   POMONA COLLEGE SUMMER HALL EARLY 1900s POSTCARD",999,,0,False,
"RPPC Bridges Hall, Pomona College, Claremont, CA Real Photo Postcard *5C",1195,,95,False,
Pomona Pitzer College Sagehens The Game Split Bar Vintage 90's Snapback Cap Hat,3995,Brand New,0,False,
CA Pomona 1964 vintage postcard CALIFORNIA STATE POLYTECHNIC COLLEGE Kellogg,619,Pre-Owned,131,False,
"RPPC Zoology Building, Pomona College, Claremont, CA c1930s Frashers Postcard",1700,Pre-Owned,100,False,
Orig Vtg 1908 Mabelle Ella Craig Pomona College Graduate Photograph Photo Wm ,5000,,,True,
RPPC  Bridges Hall Pomona College Claremont Califirnia  -  A8,1650,Pre-Owned,335,False,
"RPPC Claremont,CA Pomona College Los Angeles County California Postcard Vintage",3999,Pre-Owned,400,False,
CLAREMONT CA Pomona College Albert Smiley Hall Vintage RPPC Postcard Old Photo,1250,Pre-Owned,0,False,
Wedgwood Pomona College blue white Patio of Harwood Court plate,3999,Pre-Owned,1015,True,
"Claremont, California CA ~ Pomona College  ",525,Pre-Owned,150,False,
"RPPC Harwood Court Pomona College, Claremont, California c1940s Vintage Postcard",899,Pre-Owned,100,False,
"RPPC Claremont Inn,Pomona College,CA Los Angeles County California Postcard",2999,Pre-Owned,400,False,
Pomona College Handbook/Lookbook 1976-77 Catalog Book,1674,Pre-Owned,375,True,
Vtg 90s Cal Poly Pomona Gardening Club Faded Shirt L USA College Flower Grunge,4495,Pre-Owned,590,False,
Rare! 1919-1923 Pomona College Hobo Club Gold Fraternity Pin Train CAR,8999,Pre-Owned,0,False,
Postcard Claremont California Bridges Hall Pomona College,450,Pre-Owned,0,True,
"1980s+ Bridges Hall of Music Pomona College San Gabriel Mts., Claremont CA 4x6 ",100,,150,False,
CAL POLY POMONA SHORT SLEEVE CREW NECK T SHIRT SIZE LARGE,1795,Pre-Owned,,False,
Pomona College Navy Yellow 1887 Short Sleeve 100%Cotton T Shirt S,500,Pre-Owned,800,False,
Pomona College 1902 Photographs Lot Claremont Calif Eaton Canyon San Gabriel Mtn,3000,,,False,
Pomona College CLAREMONT California RPPC Antique Photo Postcard~1930s,1299,Pre-Owned,100,False,
"CLAREMONT , California , 1908 ; Pomona College",600,Pre-Owned,350,False,
